disruption_type_road_closure,disruption_type_traffic_jam,disruption_severity,distance_to_disruption_center,remaining_deliveries,distance_along_route_to_disruption,distance_to_next_delivery_along_route,next_delivery_before_disruption,alternative_route_density,urban_density,best_action,disruption_id,target_driver_id,all_actions_travel_time,all_actions_route_length,disruption_raw_type,disruption_location_lat,disruption_location_lon,disruption_affected_area_radius,disruption_duration,initial_driver_position_lat,initial_driver_position_lon,initial_driver_route_points_json,all_delivery_points_original_json,driver_assignments_json,warehouse_location_original_json
1.0,0.0,0.7,0.010652558729660451,0.1,0.0,0.0,0.0,0.7777777777777778,0.89,reroute_basic,2188,0,"{'reroute_basic': inf, 'reroute_tight_avoidance': inf, 'reroute_wide_avoidance': inf}","{'reroute_basic': 2009.0127876244492, 'reroute_tight_avoidance': 2009.0127876244492, 'reroute_wide_avoidance': 2009.0127876244492}",ROAD_CLOSURE,54.902703552207456,23.91225326929883,129.97929848586153,135,54.9034791,23.9112751,"[[54.9028742, 23.9085869], [54.9034089, 23.9103337], [54.9034791, 23.9112751], [54.9032983, 23.911683], [54.9027006, 23.9122561], [54.8989956, 23.9029891], [54.8985048, 23.9035264]]","[[54.9027, 23.9096], [54.8985, 23.9036], [54.9065, 23.9138], [54.8957, 23.9241], [54.9112, 23.8972]]","{""0"": [0, 1], ""1"": [2, 3], ""2"": [4]}","[54.9027, 23.9096]"
1.0,0.0,0.7,0.02380677284486981,0.1,0.01088195846232096,0.01088195846232096,0.0,0.6428571428571429,1.0,reroute_basic,7809,0,"{'reroute_basic': inf, 'reroute_tight_avoidance': inf, 'reroute_wide_avoidance': inf}","{'reroute_basic': 3728.9512283705553, 'reroute_tight_avoidance': 3728.9512283705553, 'reroute_wide_avoidance': 3728.9512283705553}",ROAD_CLOSURE,54.90159776159341,23.909497664503675,220.84677968235215,135,54.9034791,23.9112751,"[[54.9028742, 23.9085869], [54.9034089, 23.9103337], [54.9034791, 23.9112751], [54.9032983, 23.911683], [54.9027006, 23.9122561], [54.8989956, 23.9029891], [54.8985048, 23.9035264]]","[[54.9027, 23.9096], [54.8985, 23.9036], [54.9065, 23.9138], [54.8957, 23.9241], [54.9112, 23.8972]]","{""0"": [0, 1], ""1"": [2, 3], ""2"": [4]}","[54.9027, 23.9096]"
1.0,0.0,0.7201640005321142,0.00711652641224829,0.05,0.0,0.034944387262568224,0.0,0.7272727272727272,0.86,reroute_basic,3777,2,"{'reroute_basic': inf, 'reroute_tight_avoidance': inf, 'reroute_wide_avoidance': inf}","{'reroute_basic': 1657.2849976552918, 'reroute_tight_avoidance': 1657.2849976552918, 'reroute_wide_avoidance': 1657.2849976552918}",ROAD_CLOSURE,54.90453055942953,23.91523069381705,127.8341863174746,138,54.9040411,23.9159479,"[[54.9028742, 23.9085869], [54.9034089, 23.9103337], [54.9034791, 23.9112751], [54.9032983, 23.911683], [54.9027006, 23.9122561], [54.902925, 23.9128779], [54.9030953, 23.9133426], [54.9034435, 23.9142986], [54.9040411, 23.9159479], [54.9043497, 23.915551], [54.9048004, 23.9147528], [54.9063176, 23.9121883], [54.9069072, 23.9133015]]","[[54.9027, 23.9096], [54.8985, 23.9036], [54.9065, 23.9138], [54.8957, 23.9241], [54.9112, 23.8972]]","{""0"": [0], ""1"": [1], ""2"": [2], ""3"": [3], ""4"": [4]}","[54.9027, 23.9096]"
0.0,1.0,0.5062473806400757,0.019077424580557473,0.05,0.012651835553064287,0.029602779857154406,0.0,0.7619047619047619,0.6,reroute_basic,9425,1,"{'no_action': 134.39472421241553, 'reroute_basic': 109.538386051666, 'reroute_tight_avoidance': 109.538386051666, 'reroute_wide_avoidance': 109.538386051666}","{'no_action': 1082.1653460989326, 'reroute_basic': 1477.4642886549273, 'reroute_tight_avoidance': 1477.4642886549273, 'reroute_wide_avoidance': 1477.4642886549273}",TRAFFIC_JAM,54.90341556464858,23.91141844109426,101.50617468867826,68,54.9028742,23.9085869,"[[54.9028742, 23.9085869], [54.9034089, 23.9103337], [54.9034791, 23.9112751], [54.9032983, 23.911683], [54.9027006, 23.9122561], [54.8989956, 23.9029891], [54.8985048, 23.9035264]]","[[54.9027, 23.9096], [54.8985, 23.9036], [54.9065, 23.9138], [54.8957, 23.9241], [54.9112, 23.8972]]","{""0"": [0], ""1"": [1], ""2"": [2], ""3"": [3], ""4"": [4]}","[54.9027, 23.9096]"
1.0,0.0,0.7,0.005778633847732517,0.1,0.0,0.09556469905682896,0.0,0.7999999999999999,1.0,reroute_basic,4765,0,"{'reroute_basic': inf, 'reroute_tight_avoidance': inf, 'reroute_wide_avoidance': inf}","{'reroute_basic': 1837.8724467313996, 'reroute_tight_avoidance': 1837.8724467313996, 'reroute_wide_avoidance': 1837.8724467313996}",ROAD_CLOSURE,54.903475741493786,23.91123006157061,207.2142804058678,135,54.9034089,23.9103337,"[[54.9028742, 23.9085869], [54.9034089, 23.9103337], [54.9034791, 23.9112751], [54.9032983, 23.911683], [54.9027006, 23.9122561], [54.8989956, 23.9029891], [54.8985048, 23.9035264]]","[[54.9027, 23.9096], [54.8985, 23.9036], [54.9065, 23.9138], [54.8957, 23.9241], [54.9112, 23.8972]]","{""0"": [0, 1], ""1"": [2, 3], ""2"": [4]}","[54.9027, 23.9096]"
1.0,0.0,0.7,0.020803237733464004,0.05,0.018720821394833446,0.0,1.0,0.7777777777777778,0.37,reroute_basic,6696,2,"{'reroute_basic': 207.89483116496822, 'reroute_tight_avoidance': 207.89483116496822, 'reroute_wide_avoidance': 207.89483116496822}","{'reroute_basic': 2123.040230941521, 'reroute_tight_avoidance': 2123.040230941521, 'reroute_wide_avoidance': 2123.040230941521}",ROAD_CLOSURE,54.90317906563324,23.911797326945944,83.35994040499801,135,54.9028742,23.9085869,"[[54.9028742, 23.9085869], [54.9034089, 23.9103337], [54.9034791, 23.9112751], [54.9032983, 23.911683], [54.9027006, 23.9122561], [54.902925, 23.9128779], [54.9030953, 23.9133426], [54.9034435, 23.9142986], [54.9040411, 23.9159479], [54.9029273, 23.917786], [54.9023236, 23.918755], [54.9022605, 23.9188315], [54.8997487, 23.9224618], [54.898644, 23.9232402], [54.8983044, 23.9244624], [54.8978775, 23.9252127], [54.8971957, 23.9252772], [54.8967699, 23.9252469], [54.8959018, 23.9251864], [54.8952648, 23.9241758]]","[[54.9027, 23.9096], [54.8985, 23.9036], [54.9065, 23.9138], [54.8957, 23.9241], [54.9112, 23.8972]]","{""0"": [0, 1], ""1"": [2], ""2"": [3], ""3"": [4]}","[54.9027, 23.9096]"
0.0,1.0,0.7032951823864265,0.038618835006011,0.1,0.012463448455094079,0.2253442016328297,0.0,0.8262108262108262,1.0,reroute_basic,9981,1,"{'no_action': 762.6399195869552, 'reroute_basic': 161.12309242761793, 'reroute_tight_avoidance': 161.12309242761793, 'reroute_wide_avoidance': 161.12309242761793}","{'no_action': 2703.9880160454427, 'reroute_basic': 1811.5806765394839, 'reroute_tight_avoidance': 1811.5806765394839, 'reroute_wide_avoidance': 1811.5806765394839}",TRAFFIC_JAM,54.906859959659016,23.913212307415915,359.72198442069833,88,54.9034435,23.9142986,"[[54.9028742, 23.9085869], [54.9034089, 23.9103337], [54.9034791, 23.9112751], [54.9032983, 23.911683], [54.9027006, 23.9122561], [54.902925, 23.9128779], [54.9030953, 23.9133426], [54.9034435, 23.9142986], [54.9040411, 23.9159479], [54.9043497, 23.915551], [54.9048004, 23.9147528], [54.9063176, 23.9121883], [54.9069072, 23.9133015], [54.9063176, 23.9121883], [54.9048004, 23.9147528], [54.9043497, 23.915551], [54.9040411, 23.9159479], [54.9029273, 23.917786], [54.9023236, 23.918755], [54.9022605, 23.9188315], [54.8997487, 23.9224618], [54.898644, 23.9232402], [54.8983044, 23.9244624], [54.8978775, 23.9252127], [54.8971957, 23.9252772], [54.8967699, 23.9252469], [54.8959018, 23.9251864], [54.8952648, 23.9241758]]","[[54.9027, 23.9096], [54.8985, 23.9036], [54.9065, 23.9138], [54.8957, 23.9241], [54.9112, 23.8972]]","{""0"": [0, 1], ""1"": [2, 3], ""2"": [4]}","[54.9027, 23.9096]"
0.0,1.0,0.48815359305521117,0.011264113067195231,0.1,0.0,0.09556469905682896,0.0,0.75,0.67,reroute_basic,9145,0,"{'no_action': 132.3850680700656, 'reroute_basic': 127.96062726861932, 'reroute_tight_avoidance': 127.96062726861932, 'reroute_wide_avoidance': 127.96062726861932}","{'no_action': 1082.1653460989326, 'reroute_basic': 1730.500999716213, 'reroute_tight_avoidance': 1730.500999716213, 'reroute_wide_avoidance': 1730.500999716213}",TRAFFIC_JAM,54.90301365327949,23.91195593129585,114.17562304223063,66,54.9034089,23.9103337,"[[54.9028742, 23.9085869], [54.9034089, 23.9103337], [54.9034791, 23.9112751], [54.9032983, 23.911683], [54.9027006, 23.9122561], [54.8989956, 23.9029891], [54.8985048, 23.9035264]]","[[54.9027, 23.9096], [54.8985, 23.9036], [54.9065, 23.9138], [54.8957, 23.9241], [54.9112, 23.8972]]","{""0"": [0, 1], ""1"": [2], ""2"": [3], ""3"": [4]}","[54.9027, 23.9096]"
0.0,1.0,0.8408417133404742,0.0004901291781160495,0.1,0.0,0.0,0.0,0.8008130081300813,1.0,reroute_basic,5880,0,"{'no_action': 627.5349752902208, 'reroute_basic': 491.1080821758546, 'reroute_tight_avoidance': 491.1080821758546, 'reroute_wide_avoidance': 491.1080821758546}","{'no_action': 1082.1653460989326, 'reroute_basic': 1851.8807165515962, 'reroute_tight_avoidance': 1851.8807165515962, 'reroute_wide_avoidance': 1851.8807165515962}",TRAFFIC_JAM,54.9034521878693,23.911335816029386,465.0068367257535,103,54.9034791,23.9112751,"[[54.9028742, 23.9085869], [54.9034089, 23.9103337], [54.9034791, 23.9112751], [54.9032983, 23.911683], [54.9027006, 23.9122561], [54.8989956, 23.9029891], [54.8985048, 23.9035264]]","[[54.9027, 23.9096], [54.8985, 23.9036], [54.9065, 23.9138], [54.8957, 23.9241], [54.9112, 23.8972]]","{""0"": [0, 1], ""1"": [2, 3], ""2"": [4]}","[54.9027, 23.9096]"
0.0,1.0,0.3335900496254467,0.09849318836911616,0.05,0.061634463481463043,0.0,1.0,0.7479674796747968,1.0,reroute_basic,8323,4,"{'no_action': 494.8651367425404, 'reroute_basic': 353.03149036302057, 'reroute_tight_avoidance': 353.03149036302057, 'reroute_wide_avoidance': 353.03149036302057}","{'no_action': 2985.701843072788, 'reroute_basic': 4412.034551278007, 'reroute_tight_avoidance': 4412.034551278007, 'reroute_wide_avoidance': 4412.034551278007}",TRAFFIC_JAM,54.898321845848635,23.89537229225588,504.5124240709784,50,54.9028742,23.9085869,"[[54.9028742, 23.9085869], [54.9018074, 23.9058463], [54.901499, 23.9050514], [54.9010044, 23.9036397], [54.8996974, 23.9006969], [54.8982421, 23.8962616], [54.8983238, 23.8953505], [54.8983882, 23.894824], [54.8985939, 23.8933648], [54.8987936, 23.8928499], [54.8990776, 23.8926641], [54.9000267, 23.8927173], [54.9008679, 23.8931677], [54.9009866, 23.8932438], [54.9014448, 23.8939165], [54.9019241, 23.8935757], [54.9022539, 23.8928145], [54.9041832, 23.888242], [54.9045699, 23.8881436], [54.90466, 23.8882253], [54.9050331, 23.8889797], [54.9092923, 23.8942934], [54.9101134, 23.8953944], [54.9111354, 23.897934]]","[[54.9027, 23.9096], [54.8985, 23.9036], [54.9065, 23.9138], [54.8957, 23.9241], [54.9112, 23.8972]]","{""0"": [0], ""1"": [1], ""2"": [2], ""3"": [3], ""4"": [4]}","[54.9027, 23.9096]"
