disruption_type_road_closure,disruption_type_traffic_jam,disruption_severity,distance_to_disruption_center,remaining_deliveries,distance_along_route_to_disruption,distance_to_next_delivery_along_route,next_delivery_before_disruption,alternative_route_density,urban_density,best_action
1.0,0.0,0.7,0.010652558729660451,0.1,0.0,0.0,0.0,0.7777777777777778,0.89,reroute_basic
1.0,0.0,0.7,0.02380677284486981,0.1,0.01088195846232096,0.01088195846232096,0.0,0.6428571428571429,1.0,reroute_basic
1.0,0.0,0.7201640005321142,0.00711652641224829,0.05,0.0,0.034944387262568224,0.0,0.7272727272727272,0.86,reroute_basic
0.0,1.0,0.5062473806400757,0.019077424580557473,0.05,0.012651835553064287,0.029602779857154406,0.0,0.7619047619047619,0.6,reroute_basic
1.0,0.0,0.7,0.005778633847732517,0.1,0.0,0.09556469905682896,0.0,0.7999999999999999,1.0,reroute_basic
1.0,0.0,0.7,0.020803237733464004,0.05,0.018720821394833446,0.0,1.0,0.7777777777777778,0.37,reroute_basic
0.0,1.0,0.7032951823864265,0.038618835006011,0.1,0.012463448455094079,0.2253442016328297,0.0,0.8262108262108262,1.0,reroute_basic
0.0,1.0,0.48815359305521117,0.011264113067195231,0.1,0.0,0.09556469905682896,0.0,0.75,0.67,reroute_basic
0.0,1.0,0.8408417133404742,0.0004901291781160495,0.1,0.0,0.0,0.0,0.8008130081300813,1.0,reroute_basic
0.0,1.0,0.3335900496254467,0.09849318836911616,0.05,0.061634463481463043,0.0,1.0,0.7479674796747968,1.0,reroute_basic
1.0,0.0,0.7,0.030955546437948657,0.05,0.030676655777607503,0.04035263549033724,0.0,0.8439716312056738,1.0,reroute_basic
1.0,0.0,0.7,0.07423710570499449,0.1,0.0797542041489391,0.0,1.0,0.7222222222222222,1.0,reroute_basic
1.0,0.0,0.7,0.036295611186154306,0.05,0.025167658358233966,0.07981060013631258,0.0,0.7931034482758621,1.0,reroute_basic
1.0,0.0,0.7,0.004171073920426347,0.05,0.0,0.0,0.0,0.8034188034188033,1.0,reroute_basic
1.0,0.0,0.7,0.07285330096013766,0.1,0.08304697433532027,0.0,1.0,0.7619047619047619,0.86,reroute_basic
0.0,1.0,0.5328451022730988,0.01965460504135021,0.1,0.0,0.09246243568937688,0.0,0.8089171974522293,1.0,reroute_basic
0.0,1.0,0.95,0.001288854855224057,0.05,0.0,0.0,0.0,0.8164794007490638,1.0,reroute_basic
0.0,1.0,0.6314606464003387,0.017798249106143714,0.1,0.0,0.10821653460989325,0.0,0.7999999999999999,1.0,reroute_basic
0.0,1.0,0.95,0.08135570035824768,0.05,0.04047495314770986,0.27741067397352565,0.0,0.7638376383763837,1.0,reroute_basic
1.0,0.0,0.95,0.05123613056665723,0.05,0.056185958421208396,0.00807429880045579,1.0,0.7291666666666666,0.94,reroute_basic
1.0,0.0,0.7,0.07238324922121313,0.1,0.0721650158729993,0.07861375475273885,0.0,0.7619047619047619,0.55,reroute_basic
0.0,1.0,0.06162099073623842,0.004332107631419972,0.1,0.0,0.08948657984904232,0.0,0.808641975308642,1.0,reroute_basic
0.0,1.0,0.41032625824023766,0.06172166899278328,0.05,0.006130945044136519,0.0,1.0,0.7578947368421053,1.0,reroute_basic
1.0,0.0,0.7,0.0032289676842097038,0.05,0.0,0.19838857218081454,0.0,0.611111111111111,0.14,reroute_basic
0.0,1.0,0.7934855070443465,0.07595106858752917,0.1,0.16508246869438004,0.04740783571766231,1.0,0.7688172043010754,1.0,reroute_basic
1.0,0.0,0.7930813991346156,0.026392565349251485,0.05,0.02115951033375319,0.0,1.0,0.7450980392156863,0.62,reroute_basic
0.0,1.0,0.7726695985070386,0.024467411971075846,0.05,0.0,0.19494679709156085,0.0,0.7662473794549266,1.0,reroute_tight_avoidance
0.0,1.0,0.8779930809946305,0.02891152744327598,0.05,0.02115951033375319,0.061634463481463043,0.0,0.8181818181818182,1.0,reroute_tight_avoidance
1.0,0.0,0.7,0.006040339544540973,0.05,0.0,0.04047495314770986,0.0,0.8296296296296296,1.0,reroute_basic
1.0,0.0,0.7,0.012747140926626252,0.05,0.012463448455094079,0.057083815430392044,0.0,0.5833333333333334,0.38,reroute_basic
0.0,1.0,0.21987644606745063,0.014707129942768774,0.1,0.0,0.0,0.0,0.8180708180708182,1.0,reroute_basic
0.0,1.0,0.7118124980394569,0.0023697791899775877,0.1,0.0,0.25774696605147995,0.0,0.8256880733944953,1.0,reroute_tight_avoidance
